Cover Name,Section Name,Feature Name,Feature ID,Point to Consider,Policy Name,Policy Code,Policy Insurer,Policy Wording Path,Policy Content,Policy Icon,Policy Page
Private Motor (including Prestige),Type of Policy,Comprehensive Policy - Loss or Damage to Insured Vehicle,103,"Does the Insurer offer Comprehensive cover?

Comprehensive cover insures the vehicle for sudden, unforeseen and accidental loss or damage not otherwise excluded by the policy.  ",Car Insurance Policy (PDS),BestBuy-Car_0321-SPDS_0922,BestBuy Insurance,,,,
Private Motor (including Prestige),Type of Policy,Agreed Value Available,106,"Does the Insurer offer Agreed Value?

Agreed value is where the Insured and the Insurer agree on the Value of cover against loss or damage during a period of insurance. 

If the vehicle is a total loss, the Insurer pays the Agreed Value stated in the schedule.  ",Car Insurance Policy (PDS),BestBuy-Car_0321-SPDS_0922,BestBuy Insurance,,,,
Private Motor (including Prestige),Type of Policy,Market Value Available,107,"Does the Insurer offer Agreed Value?

Market Value is what the vehicle is worth before the damage occurs. 

If a vehicle is a total loss the insurance assessor considers the value of the vehicle immediately prior to the accident. 

The Market Value changes daily according to market fluctuations, so the price paid for a vehicle is not always the amount it can be insured for.  ",Car Insurance Policy (PDS),BestBuy-Car_0321-SPDS_0922,BestBuy Insurance,,,,
Private Motor (including Prestige),Type of Policy,Named Driver Available,13121,"Does the Insurer offer the ability to have a Named Driver Only policy.

This means that the Insurer will only cover the vehicle when it is being driven by the person/s named in the schedule.

A reduced premium usually applies due to the reduction in risk involved.  ",Car Insurance Policy (PDS),BestBuy-Car_0321-SPDS_0922,BestBuy Insurance,,,,
Private Motor (including Prestige),Type of Policy,Pay As You Drive/Limited Kilometres,37490,"Some Insurers will base their premium on the amount of times the Vehicle is driven. This usually results in a premium reduction for Vehicles that are driven less due to the reduction in risk involved.

The Insurer may (a) have a set number of kilometres that the Insured cannot exceed without purchasing more kilometres (b) request the Insured nominate the set number of kilometres and/or (c) take the odometer reading on the first and last day of the first period of insurance then work out the kilometres for subsequent periods. 

The number of kilometres agreed upon will be shown on the schedule and must be regularly checked to ensure that the Vehicle will not go over the kilometre limit.  ",Car Insurance Policy (PDS),BestBuy-Car_0321-SPDS_0922,BestBuy Insurance,,,,
Private Motor (including Prestige),Type of Policy,Restricted Drivers Applies,13122,"Does the Insurer restrict coverage to only certain types of drivers?

This most common restriction is age whereby the insurer will only cover drivers who are aged above a specified limit.

This is separate to a Named Driver policy as the drivers do not need to be named, they just need to fall within the guidelines of the policy restrictions.  ",Car Insurance Policy (PDS),BestBuy-Car_0321-SPDS_0922,BestBuy Insurance,,,,
Private Motor (including Prestige),Type of Policy,"Third Party, Fire and Theft Policy Only Option",4681,"Does the Insurer offer Third Party, Fire & Theft cover as a stand-alone policy under this wording? Third Party, Fire & Theft cover insures the vehicle against Third Party Property Damage as well as limited cover for Fire & Theft. There is usually a monetary limit placed on the Fire & Theft cover.  ",Car Insurance Policy (PDS),BestBuy-Car_0321-SPDS_0922,BestBuy Insurance,,,,
Private Motor (including Prestige),Type of Policy,Third Party Property Damage Policy Only Option,4682,Does the Insurer offer Third Party Property Damage cover as a stand-alone policy under this wording? Third Party Property Damage cover insures the vehicle against any liability they may incur as a result of loss or damage to property of a third party.  ,Car Insurance Policy (PDS),BestBuy-Car_0321-SPDS_0922,BestBuy Insurance,,,,
Private Motor (including Prestige),Part of Vehicle Definition,Standard Tools and Accessories,4683,"Details whether the definition of the vehicle includes standard tools and accessories.

The majority of Insurers will include standard tools accessories and equipment supplied and installed by the manufacturer.  ",Car Insurance Policy (PDS),BestBuy-Car_0321-SPDS_0922,BestBuy Insurance,,,,
Private Motor (including Prestige),Part of Vehicle Definition,"Non-standard Extras, Modifications and Accessories",4684,"Details whether the definition of the vehicle includes non-standard extras modifications and accessories.

Some Insurers will offer a monetary limit for these items that aren't noted on the schedule whilst others will specify that all items must be noted on the schedule.  ",Car Insurance Policy (PDS),BestBuy-Car_0321-SPDS_0922,BestBuy Insurance,,,,
Private Motor (including Prestige),Related Benefits - General - Comprehensive Policies,Artwork,13123,"The amount the Insurer is willing to pay with respect to the damage that is caused to the artwork or signwriting of an Insured's vehicle in the event of a claim.

There is usually a specified monetary limit and it may be additional to the SI or market value.  ",Car Insurance Policy (PDS),BestBuy-Car_0321-SPDS_0922,BestBuy Insurance,,,,
Private Motor (including Prestige),Related Benefits - General - Comprehensive Policies,Automatic Cover on Replacement Vehicles,108,"If during a period of insurance, the Insured decided to replace the insured vehicle, then the policy provides automatic cover for the substitute vehicle for a stated number of days.

Cover on a replacement vehicle is on the standard policy terms from the date of purchase, provided that the Insured notifies the insurer within a stated number of days after the date of purchase.

The amount that the vehicle is insured for may be limited to a monetary figure, the purchase price or the market value (or the lesser of each).

Some Insurers will only offer this benefit if the value of the replacement vehicle is below a certain amount.  ",Car Insurance Policy (PDS),BestBuy-Car_0321-SPDS_0922,BestBuy Insurance,,,,
Private Motor (including Prestige),Related Benefits - General - Comprehensive Policies,Car Sharing/Pooling (Private),30527,Insurer pays for accidental loss or damage when the insured vehicle is being used in a car sharing agreement including travelling to and from work provided any payment by passengers does not involve commercial use for profit.  ,Car Insurance Policy (PDS),BestBuy-Car_0321-SPDS_0922,BestBuy Insurance,,,,
Private Motor (including Prestige),Related Benefits - General - Comprehensive Policies,Caravan - Loss or Damage Whilst Attached,579,"If the insured vehicle is towing a caravan, this benefit will cover loss or damage to the caravan provided it is not otherwise insured.

Some Insurers will stipulate that a claim must have been accepted for loss or damage to the towing vehicle for this benefit to take effect.

There is usually a monetary limit placed on the cover.  ",Car Insurance Policy (PDS),BestBuy-Car_0321-SPDS_0922,BestBuy Insurance,,,,
